Expander Information:
Name                : Expander1(RAID Card1)

PHY error statistics:
PHY#,     Timestamp,               InvalidDwordCount,       LossDwordSynchCount,     PhyResetProblemCount,    RunningDisparityErrorCount
0,        2024-06-12 13:26:17,     0,                       0,                       0,                       0,
1,        2024-06-12 13:26:17,     0,                       0,                       0,                       0,
2,        2024-06-12 13:26:17,     0,                       0,                       0,                       0,
3,        2024-06-12 13:26:17,     0,                       0,                       0,                       0,
4,        2024-06-12 13:26:17,     0,                       0,                       0,                       0,
5,        2024-06-12 13:26:17,     0,                       0,                       0,                       0,
6,        2024-06-12 13:26:17,     0,                       0,                       0,                       0,
7,        2024-06-12 13:26:17,     0,                       0,                       0,                       0,
8,        2024-06-12 13:26:17,     0,                       0,                       0,                       0,
9,        2024-06-12 13:26:17,     0,                       0,                       0,                       0,
10,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
11,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
12,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
13,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
14,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
15,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
16,       2024-06-12 13:26:17,     24,                      0,                       0,                       24,
17,       2024-06-12 13:26:17,     26,                      0,                       0,                       26,
18,       2024-06-12 13:26:17,     25,                      0,                       0,                       25,
19,       2024-06-12 13:26:17,     24,                      0,                       0,                       24,
20,       2024-06-12 13:26:17,     18,                      0,                       0,                       18,
21,       2024-06-12 13:26:17,     18,                      0,                       0,                       18,
21,       2024-06-16 01:32:26,     0,                       0,                       0,                       0,
21,       2024-06-16 01:59:03,     18,                      0,                       0,                       18,
22,       2024-06-12 13:26:17,     20,                      0,                       0,                       20,
22,       2024-06-15 22:02:19,     0,                       0,                       0,                       0,
22,       2024-06-15 22:28:56,     20,                      0,                       0,                       20,
22,       2024-06-16 01:32:26,     0,                       0,                       0,                       0,
22,       2024-06-16 01:59:03,     20,                      0,                       0,                       20,
23,       2024-06-12 13:26:17,     18,                      0,                       0,                       18,
23,       2024-06-15 22:02:19,     0,                       0,                       0,                       0,
23,       2024-06-15 22:28:56,     18,                      0,                       0,                       18,
23,       2024-06-16 00:02:28,     0,                       0,                       0,                       0,
23,       2024-06-16 00:29:02,     18,                      0,                       0,                       18,
24,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
25,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
26,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
27,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
28,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
29,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
30,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
31,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
32,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
33,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
34,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
35,       2024-06-12 13:26:17,     0,                       0,                       0,                       0,
